,section_id,s_node,e_node,length
10499,116920068,1317051652,1317051473,2
10500,116920069,1317051736,1317051476,9
10501,116920070,1317051491,1317051689,2
10502,116920071,1317051512,288368750,19
10503,116920072,1317051525,321559328,3
10504,116920073,1317051636,1317051569,4
10505,116920074,261615358,261615359,2
10506,116920076,1317051554,261615246,3
10507,116920077,237546576,237546599,2
10508,116920080,1317051672,1317051504,3
10509,116920081,1317051595,1317051717,2
10510,116927089,1317114407,1317114401,3
10511,116939987,1317203394,1317203366,5
10512,116939988,1317203372,1317203389,5
10513,116941118,1317216458,1317216461,5
10514,116941119,1317216448,1317216449,3
10515,116988720,1317770100,1317770157,4
10516,116988722,1317770219,1014896750,18
10517,116988724,1317770188,1014896660,2
10518,116988726,1317770174,1317770187,4
10519,116988728,1317770035,1317770111,5
10520,116988731,1317770097,1317770157,4
10521,116988733,1317770013,1014897403,6
10522,116988736,1014896660,1317770136,6
10523,116988737,1317770189,1317770096,3
10524,116988738,1317770194,1317770179,2
10525,116988741,1317770032,1317770154,7
10526,116988742,1014897403,1317770116,2
10527,116988744,1317770185,1317770140,2
10528,116988745,1317770136,1014896535,2
10529,116988750,1317770058,1317770157,2
10530,116988751,1014897337,1317770013,2
10531,116988753,1014896535,1014897163,2
10532,116988754,1317770142,1317770204,5
10533,116988756,1317770064,1317770149,3
10534,116988758,1317770154,1317770082,13
10535,116988761,1317770210,1014897213,6
10536,116988764,1317770219,1317770164,19
10537,116988767,1317770042,1317770067,5
10538,116988769,1317770192,1317770115,7
10539,116988770,1317770227,1317770079,14
10540,116988772,1317770116,1014897255,3
10541,116988773,1223320336,1317770030,4
10542,116990625,1317779665,1317779764,7
10543,116990626,695076670,1317779783,26
10544,116990628,1317779568,1317779746,2
10545,116990629,1317779770,1317779600,21
10546,116990631,1317779584,1317779617,6
10547,116990632,1317779726,4076267747,7
10548,116990633,1317779704,1317779647,2
10549,116996121,1317799221,3318033529,2
10550,116996123,1317799132,4076125464,39
10551,116996124,1317799022,1317799192,3
10552,116996125,3318077354,1317799246,4
10553,116996130,1317799263,3318033559,6
10554,116996131,1317799054,1317799219,6
10555,116996132,605439537,1317799243,13
10556,116996137,4076125581,5793259567,14
10557,116996138,1317799107,1317799015,9
10558,116996141,1317799276,1317799131,3
10559,116996146,3318033523,1317799179,21
10560,116996149,1317799004,1317799131,2
10561,116996150,1317799144,726616735,4
10562,116996152,1317799224,1317799161,2
10563,116996156,4076125535,5793259566,9
10564,116996157,534575205,1317799093,4
10565,117081326,5906038689,1318914211,6
10566,117081330,2599545790,1318914257,3
10567,117081340,1318914312,1318914275,9
10568,117081341,1318914199,1318914218,5
10569,117081342,605333880,1281828889,5
10570,117081344,1318914302,605333880,19
10571,117081346,1318914290,1318914214,2
10572,117081349,1318914296,1318914188,4
10573,117082574,1318917028,1318917025,4
10574,117082575,1318917057,1318917003,3
10575,117082576,1318917069,1318917007,13
10576,117082577,1318917016,1318917069,5
10577,117082578,1318916991,3683171569,11
10578,117082580,1318917003,1318917075,6
10579,117082581,1318917032,1318917039,4
10580,117082582,1318916989,3247242149,8
10581,117082584,2475159554,1318917019,14
10582,117082585,1318917017,1318917046,3
10583,117082586,1318917052,1318917008,5
10584,117082587,1318917040,3683171577,8
10585,117082588,1318917025,1318917032,13
10586,117082589,1318917060,1318916988,5
10587,117082590,1318917062,1318917074,9
10588,117083228,1370395734,1370395641,13
10589,117083229,1318929895,1318929818,3
10590,117083231,1318929826,1318929875,10
10591,117083233,1318929838,1318929843,7
10592,117083234,2730555287,1318929872,8
10593,117083235,1318929748,1318929840,2
10594,117083236,1318929742,1318929790,10
10595,117083237,1318929863,1318929898,11
10596,117083238,1318929822,1318929731,4
10597,117083239,1318929750,727278366,22
10598,117083240,1318929836,2619377513,8
10599,117083241,300240656,1318929884,5
10600,117083242,1318929858,1318929911,5
10601,117083722,1318941416,1318941463,2
10602,117083723,1318941440,1318941517,2
10603,117083724,1318941513,1318941482,10
10604,117083725,1318941457,1318941491,2
10605,117083727,1318941418,605268521,9
10606,117083728,1318941529,1318941455,15
10607,117083729,1318941483,1318941415,11
10608,117083730,1318941486,1318941540,2
10609,117083731,1318941465,1318941532,4
10610,117083732,1318941461,1318941436,3
10611,117083733,727278818,1318941531,6
10612,117084847,1318947130,1318947111,3
10613,117084848,606043982,2464952606,11
10614,117084849,1318947136,605268715,3
10615,117084851,1318947116,1318947136,3
10616,117084852,1318947111,2459514569,41
10617,117084853,1318947125,2459514550,7
10618,117084854,1318947139,1318947153,6
10619,117084855,1318947151,1318947145,10
10620,117085519,1318954594,1318954585,3
10621,117085520,1318954573,1318954566,11
10622,117085523,1318954573,1318954586,6
10623,117085524,1318954563,1318954582,11
10624,117085525,332692347,1318954571,7
10625,117085526,1318954578,1318954565,8
10626,117089642,1319018119,1319018195,18
10627,117089648,1319018240,1319018079,14
10628,117089649,1319031600,1319018075,47
10629,117091909,1114088484,1319039354,3
10630,117182693,1319916725,1319916718,13
10631,117186200,1819087300,3451494857,3
10632,117221806,1320351301,1320351676,6
10633,117221807,1320351510,1320351779,5
10634,117221808,1320351193,1320351142,12
10635,117221809,1320351283,1320351560,2
10636,117221810,1320351164,1320351236,5
10637,117221811,1320351492,3642061902,6
10638,117221812,1320351755,1320351442,7
10639,117221813,1325463939,1320351697,4
10640,117221815,1320351620,1320351396,2
10641,117221818,1320351563,1638694597,7
10642,117221819,1320351422,1320351517,7
10643,117221822,1320351166,1320351667,2
10644,117221824,1320351494,2125894738,33
10645,117221829,1320351746,1320351349,3
10646,117221830,1320351671,1320351217,5
10647,117221831,1320351471,1320351261,9
10648,117221833,1273189345,1320351630,9
10649,117221834,1320351284,1320351214,9
10650,117221836,1320351423,1320351525,4
10651,117221837,1320351630,4076125433,8
10652,117221839,1320351332,1226822716,3
10653,117221840,1320351395,1320351189,2
10654,117221841,2578101073,1320351313,6
10655,117221842,1320351351,605896136,9
10656,117221843,1320351460,3642061964,4
10657,117221844,3447897563,530731078,13
10658,117221845,1320351378,1320351606,4
10659,117221846,1320351629,1320351573,11
10660,117221847,1320351744,1320351286,3
10661,117221848,1320351124,1320351584,2
10662,117221849,1320351770,605896007,6
10663,117221850,4149807193,1320351168,5
10664,117221851,2578101072,1320351675,8
10665,117221852,1320351511,1320351598,5
10666,117221853,1320351375,2578101063,14
10667,117221854,6506028398,1320351495,6
10668,117221855,1320351539,1320351310,2
10669,117221856,1320351147,1320351608,6
10670,117221857,1320351508,1320351212,22
10671,117221858,1320351308,4076207173,9
10672,117221859,1320351465,605894314,6
10673,117221860,1320351640,1320351444,2
10674,117221861,4879643594,1320351766,5
10675,117221862,1320351137,1320351740,4
10676,117222183,1320360509,1325478712,8
10677,117222186,1320360693,1320360803,4
10678,117222187,5310334045,1320360768,7
10679,117222188,1320360772,1320360779,4
10680,117222191,1320360775,1320360649,4
10681,117222193,1320360497,1320360524,3
10682,117222199,1320360637,1320360683,3
10683,117222201,1320360803,1320360788,7
10684,117222202,1320360546,5310322176,4
10685,117222204,1320360645,1320360705,5
10686,117222205,1320360574,1320360659,3
10687,117222206,1320360679,1320360752,5
10688,117222375,1320366479,1320366401,4
10689,117222377,1320366424,1320366478,5
10690,117222378,3514616653,2494614756,22
10691,117222379,2473202213,1320366385,12
10692,117222380,1320366434,1320366476,2
10693,117222381,1320366426,1320366409,2
10694,117222382,1320366398,1320366470,2
10695,117224374,1320373158,1320373147,3
10696,117224377,1320373256,1320373175,3
10697,117224379,1320373140,1320373257,3
10698,117224381,1320373229,1320373197,9
10699,117224383,1320373170,1320373219,4
10700,117224385,1320373214,1320373179,4
10701,117224386,1320373153,1320373147,2
10702,117224388,1320373260,1320373255,7
10703,117224390,1320373223,1320373094,2
10704,117224391,1320373111,1320373127,7
10705,117224393,1320373253,1320373127,4
10706,117224394,1320373179,1320373253,2
10707,117224395,1320373095,1320373186,2
10708,117224398,1320373212,1320373182,2
10709,117224400,1320373084,1320373160,10
10710,117224401,1320373240,1320373081,3
10711,117224402,1320373273,1320373091,10
10712,117224403,1320373120,1320373194,2
10713,117224406,1320373185,1320373147,2
10714,117561202,1324156932,1324156617,16
10715,117561215,1324156855,1324156588,4
10716,117561219,1324156894,1324156626,2
10717,117569272,1324239365,1324239280,3
10718,117569273,1324239279,1324239271,8
10719,117569274,1324239340,1324239340,6
10720,117569276,1324239368,1324239225,6
10721,117569278,1324239197,1324239298,6
10722,117569279,1324239233,1324239191,9
10723,117569280,1324239319,1324239192,3
10724,117569281,1324239220,1324239228,4
10725,117569285,1324239162,1324239355,4
10726,117569286,1324239193,1324239166,5
10727,117569287,1324239298,1324239273,4
10728,117569288,1324239167,1324239342,4
10729,117570710,1324251522,1324251710,2
10730,117570712,1324251491,1324251698,10
10731,117570713,1324251570,1324251457,3
10732,117570714,1788428506,1324251508,6
10733,117570715,1324251553,1324251694,3
10734,117570716,1324251419,1324251559,5
10735,117570717,1324251440,1324251588,7
10736,117570718,1324251505,1324251700,2
10737,117570719,1324251685,1324251614,2
10738,117570720,1324251623,1324251650,5
10739,117570721,1324251534,1324251465,2
10740,117570722,1324251455,1324251487,4
10741,117570723,1324251569,1324251448,2
10742,117570724,1324251509,1324251726,2
10743,117570725,1324251656,1324251621,9
10744,117570726,1324251689,1324251548,3
10745,117570727,1324251702,1324251635,3
10746,117570728,1324251444,1324251604,9
10747,117570733,1324251673,1324251508,2
10748,117570734,1324251698,1324251670,7
10749,117570735,1324251434,1324251570,5
10750,117570736,1324251471,1324251679,2
10751,117570738,1324251479,1324251727,2
10752,117570740,1324251451,1324251550,4
10753,117570741,1324251606,1324251624,11
10754,117570742,1324251510,1324251704,6
10755,117570745,1324251640,1324251421,5
10756,117570746,1324251725,1324251540,5
10757,117570749,1324251692,1324251650,5
10758,117570750,1324251501,1324251431,2
10759,117570751,1324251675,1324251488,29
10760,117570753,1324251424,1324251417,9
10761,117570754,1324251524,1324251428,2
10762,117570755,1324251551,1324251588,8
10763,117570756,1324251463,1324251666,2
10764,117570757,1324251468,1324251604,3
10765,117570758,1324251502,1324251548,12
10766,117573182,1324273818,1324273784,2
10767,117573184,1324273792,1324273799,5
10768,117573185,1324273859,1324273812,2
10769,117573188,1324273886,1324273814,5
10770,117573189,1324273884,1324273851,2
10771,117573190,1324273788,1324273843,3
10772,117573192,1324273783,1324273863,2
10773,117573194,1324273875,1324273797,3
10774,117573195,1324273839,1324273857,2
10775,117573197,1324273882,1324273834,2
10776,117573198,1324273829,1324273861,6
10777,117573200,1324273857,1324273790,7
10778,117573203,1324273895,1324273810,2
10779,117573205,1324273853,1324273785,3
10780,117573207,1324273804,1324251710,2
10781,117573210,1324273800,1324273781,2
10782,117573211,1324273778,1324273877,2
10783,117573213,1324273873,1324273831,5
10784,117574189,1324285782,1324286015,15
10785,117574191,1324286221,1324285933,4
10786,117574193,1324286154,1324286226,3
10787,117574196,1324285983,1324286182,2
10788,117574197,1324286219,1324285908,2
10789,117574198,1324285874,1324286127,2
10790,117574199,1324286203,1324286156,7
10791,117574201,1324285972,1324286245,5
10792,117574204,1324285791,1788406219,13
10793,117574207,1324286081,1324285823,6
10794,117574208,1324286113,1324286151,4
10795,117574210,1324286051,1324286165,3
10796,117574212,1324285835,1324285833,12
10797,117574213,1324285761,1324286018,2
10798,117574215,1324286144,1324285909,5
10799,117574216,1324285741,1324285907,3
10800,117574218,1324285773,1324286203,3
10801,117574220,1324285984,1324285879,2
10802,117574223,1324286046,1324286162,6
10803,117574224,1324285940,1324285770,7
10804,117574226,1324286232,1324285986,5
10805,117574227,1324286229,1324285823,4
10806,117574228,1324285982,1324286128,3
10807,117574230,1324286116,1324286244,2
10808,117574232,1324285910,1324286015,4
10809,117574235,1324285905,1324286136,3
10810,117574238,1324286184,1324273814,5
10811,117574240,1324286130,1324286201,3
10812,117574241,1324285972,1324286176,2
10813,117574242,1324286073,1324285926,3
10814,117574245,1324286194,1324285778,3
10815,117574247,1324286011,1324286195,8
10816,117574248,1324286136,1324286175,2
10817,117575190,1324305841,1318914227,10
10818,117576475,1318914211,1318914253,2
10819,117576479,1324305840,1324305863,5
10820,117576481,1324305802,1324305893,8
10821,117576483,1324305765,1324305768,2
10822,117576484,1318914253,1318914263,17
10823,117576492,1324305768,1324305844,2
10824,117576497,1324305838,1324305813,2
10825,117576499,1324305778,605866674,9
10826,117576500,1324305844,1324305861,9
10827,117576502,1324305882,1324305770,3
10828,117577320,1324311455,1324311604,3
10829,117577321,1324311620,1324311682,2
10830,117577322,3247242174,2207731589,12
10831,117577323,1324311551,1324311629,6
10832,117577324,1318914239,4751852351,14
10833,117577325,1324311487,1324311580,2
10834,117577326,1324311643,1324311683,4
10835,117577327,1324311641,1324311680,3
10836,117577328,1324311671,1324311595,5
10837,117577329,1324311609,1324311646,3
10838,117697855,1325463870,1325463916,3
10839,117697856,1325463833,1325463898,7
10840,117697857,1325463861,1325463920,2
